,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PE13,1349.87437001249,1.76534524295092,0.300939908965111,5.86610545946427,4.46150090731666e-09,1.92152228732363e-07
PE15,38.2735005226777,-3.17089091160089,0.832079989505418,-3.81080058599371,0.000138517472786948,0.00223717659712368
PE20,151.52210256764,1.31416668833243,0.391947236112637,3.35291735021896,0.00079964581407104,0.00966539633975544
PE5,55.2880368003725,-2.79224678682277,0.711193242568672,-3.92614358474188,8.63186402684281e-05,0.00151138292096168
PE8,69.9892548923623,2.12838840252236,0.471171458306841,4.51722693511773,6.2654746902476e-06,0.000142283234329441
PE_PGRS44,218.904320624978,-1.54982932736668,0.363555086521418,-4.26298347850341,2.01715437905656e-05,0.000395721332896594
PE_PGRS45,76.6547728907725,2.73002236931615,0.446836582933436,6.10966620367974,9.98397341893843e-10,4.56218882936126e-08
PPE15,78.4505906170059,2.39341775097395,0.45771967130751,5.22900347310174,1.7042616416674e-07,5.36627594229223e-06
PPE17,436.284353145041,1.53595029487217,0.299627759699625,5.12619490401005,2.95656542474824e-07,8.86260051722533e-06
PPE18,2661.40073762507,2.17258001474241,0.29018766939313,7.48681024002824,7.05676149073889e-14,5.60606462486147e-12
PPE19,565.402895132903,2.64935333192966,0.348844601307563,7.59465195103831,3.08620811635827e-14,2.51391778521618e-12
PPE20,2324.78410261752,-2.79585584008261,0.279192878404272,-10.0140657457394,1.32205053644003e-23,3.0960771000255e-21
PPE25,223.035076667425,0.968184097431077,0.355499405890371,2.72344786345338,0.00646044117036556,0.0484145461307195
PPE26,67.833470963796,-8.18525494615317,1.50365837161185,-5.4435602532369,5.22260566686837e-08,1.81195402164406e-06
PPE3,2945.1855861133,-6.73574811283292,0.381513822547539,-17.6553186667138,9.26095051639398e-70,3.47007815849282e-66
PPE35,710.864386971822,1.23906135982073,0.308306969550888,4.01892101766521,5.84652637927334e-05,0.00107915932724814
PPE39,1702.07653172909,1.6752444442041,0.287350044133895,5.82997802994419,5.5434673870436e-09,2.34596119881165e-07
PPE4,2765.48088384543,-1.86859864513125,0.301295109850761,-6.20188839459363,5.57896372912481e-10,2.71485416792606e-08
PPE57,92.3680541705163,-8.63166304354877,1.49435956250795,-5.77616208314849,7.6423757544346e-09,3.0463810587092e-07
PPE58,81.5707760908206,-8.45345219863528,1.49824691955317,-5.64222898663218,1.67862637985969e-08,6.28981304533424e-07
PPE59,566.437251540474,1.38084068270062,0.363854878657356,3.7950313811814,0.000147624782815108,0.00235383004769452
PPE6,501.846594875138,1.34567044731696,0.311355559111194,4.32197340930209,1.54639829253196e-05,0.00031499980754137
PPE64,245.07695448072,1.03435011660275,0.361837748793301,2.85860201168127,0.00425512269173712,0.0351963459733753
PPE66,64.3430851335948,-1.68806691482249,0.522299991271661,-3.23198725451345,0.00122932539165767,0.0137912641992255
Rv0057,311.995633004283,1.91657773752787,0.368711219895881,5.19804560888895,2.01394721292766e-07,6.28855017236663e-06
Rv0060,896.91674419998,1.11069530843577,0.28482159944506,3.89961755217942,9.63447521127894e-05,0.00163350129487159
Rv0061c,302.2794024427,1.42228082340429,0.35247577151363,4.03511656218699,5.45751973755649e-05,0.0010173794257027
Rv0074,130.519362288522,-1.31992241401909,0.420797612858236,-3.13671554611163,0.00170851799492481,0.0176584351204919
Rv0077c,67.0631209409303,-1.39759144381126,0.500663508029226,-2.79147855075884,0.00524678350083644,0.0414761556490172
Rv0079,1154.94277410763,-1.80911683348995,0.287722202866727,-6.28772063978648,3.22160959185215e-10,1.63126637036081e-08
Rv0080,666.141842049402,-2.59649746642988,0.383838386222405,-6.76455914684211,1.33715726125999e-11,8.08117460958258e-10
Rv0081,107.018937619172,-1.48076912539353,0.457722497308812,-3.23508049986561,0.00121608439473224,0.0136836883695547
Rv0095c,103.095637823029,1.78135115363725,0.419173738853346,4.24967260236805,2.14083192350253e-05,0.0004156319801743
Rv0097,276.068190799029,0.858945799010351,0.317696346592369,2.70366911116057,0.00685785417668433,0.049799185271388
Rv0106,758.81053430953,-4.75273099352706,0.406370838799133,-11.6955513037595,1.34312122886755e-31,5.0326752445667e-29
Rv0108c,1289.5090854154,1.76536727964162,0.312074732855441,5.65687347863362,1.54155314080823e-08,5.83454506930145e-07
Rv0111,450.662210541738,1.54021430992681,0.303837351401331,5.06920660946779,3.99477402441071e-07,1.15141678995899e-05
