,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PE13,3816.74186207432,-2.82881048737699,0.503826993602855,-5.61464654195725,1.96964445007983e-08,3.06870605322437e-05
PE_PGRS57,1160.81848892011,0.864767673050383,0.236180099220442,3.66147561079327,0.000250766736870742,0.0334881065181099
PPE18,3298.45503132213,-2.22280376613387,0.509809812758526,-4.36006469570784,1.30023996167259e-05,0.0057467470767473
Rv0177,555.599788036964,-2.36155278425308,0.545100319333129,-4.33232691395628,1.47541645102626e-05,0.0057467470767473
Rv0569,457.647036857823,-1.82521376577303,0.519297101549161,-3.51477749505644,0.000440122580813233,0.0447202813635011
Rv1871c,895.432172406977,-1.82176281693622,0.520562210702355,-3.49960634767986,0.000465945698720789,0.0453714624129368
Rv2840c,2600.70961585237,-1.79421929770645,0.504116225587308,-3.55913816425199,0.000372073765632141,0.0403358529232744
Rv3099c,902.145694448195,-0.813000032562693,0.225863448506878,-3.59952014341947,0.000318804938153008,0.0372267949879515
Rv3190A,2053.2438930767,0.72879742362263,0.19173322925209,3.80110128257638,0.000144054399483792,0.024937417155083
Rv3202a,1480.42355807165,0.758851687619906,0.174828735435235,4.34054325068903,1.42130888446656e-05,0.0057467470767473
Rv3278c,1974.43515955778,0.622756210722644,0.169160779512846,3.68144561946378,0.00023191525845793,0.032859885031889
Rv3304,2517.59863279872,0.615392816674262,0.164418753856799,3.74283834561987,0.00018195329081097,0.0303732029018026
Rv3612c,348.881943456176,-1.50837476598972,0.381396797386752,-3.954870036468,7.65762668374444e-05,0.0178958735599108
Rv3613c,272.75049747528,-2.15254798720136,0.556076893095365,-3.87095384456517,0.000108410319175497,0.0220308622533162
Rv3921c,2313.18708856777,-1.43867223917477,0.390771962798818,-3.68161581724185,0.000231760465125569,0.032859885031889
acpM,782.68274769433,-2.60265408958109,0.59983326758802,-4.33896255879001,1.43156907072872e-05,0.0057467470767473
atpF,964.15286387743,-1.88855620554753,0.531419331051741,-3.55379658811029,0.000379712778909729,0.0403358529232744
espA,6439.67619442623,-1.99348293592416,0.44714126878503,-4.45828438368223,8.26182450860642e-06,0.0057467470767473
