"PC1"	"PC2"	"group"	"Clade"	"Genotype"	"name"
"13-A-B"	-8.71312849438798	-6.73910043990227	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"13-A-B"
"14-A-B"	-12.4479662096152	-5.11439224469496	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"14-A-B"
"15-E-B"	-12.1780994011	2.92008049425932	"L4.4:Evolved"	"L4.4"	"Evolved"	"15-E-B"
"16-E-B"	-13.1814821652966	3.08084604676445	"L4.4:Evolved"	"L4.4"	"Evolved"	"16-E-B"
"21-A-B"	13.5192352541004	-12.080661170824	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"21-A-B"
"22-A-B"	29.1057217156262	-7.97456127654318	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"22-A-B"
"23-E-B"	-10.4568141457487	-5.8008208802945	"L4.9:Evolved"	"L4.9"	"Evolved"	"23-E-B"
"24-E-B"	-11.2986083709421	-6.38467991094734	"L4.9:Evolved"	"L4.9"	"Evolved"	"24-E-B"
"29-A-B"	41.2069648046784	-14.680434835833	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"29-A-B"
"30-A-B"	-1.72535380192863	3.66092767684991	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"30-A-B"
"31-E-B"	-10.6079341960453	6.28211291261582	"L4.4:Evolved"	"L4.4"	"Evolved"	"31-E-B"
"32-E-B"	-9.85267258950151	5.34354988500326	"L4.4:Evolved"	"L4.4"	"Evolved"	"32-E-B"
"37-A-B"	-13.4213016755299	5.5736486024546	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"37-A-B"
"38-A-B"	-13.8452325328831	7.2587162059369	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"38-A-B"
"39-E-B"	-11.9340802263725	8.05132995116716	"L4.4:Evolved"	"L4.4"	"Evolved"	"39-E-B"
"40-E-B"	-8.54243175918319	9.96425546960185	"L4.4:Evolved"	"L4.4"	"Evolved"	"40-E-B"
"45-A-B"	56.8250448244545	16.5110630772811	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"45-A-B"
"46-A-B"	38.7242673047689	7.55832986736387	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"46-A-B"
"47-E-B"	-7.6332684908176	6.43308809883362	"L4.4:Evolved"	"L4.4"	"Evolved"	"47-E-B"
"48-E-B"	-9.00891546361802	5.41262343657476	"L4.4:Evolved"	"L4.4"	"Evolved"	"48-E-B"
"5-A-B"	-7.4338813781629	-7.27577407379232	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"5-A-B"
"6-A-B"	-1.33046284511473	-8.6348687610709	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"6-A-B"
"7-E-B"	-6.50989779144604	-6.88437910444752	"L4.9:Evolved"	"L4.9"	"Evolved"	"7-E-B"
"8-E-B"	-9.25970236593447	-6.48089902635668	"L4.9:Evolved"	"L4.9"	"Evolved"	"8-E-B"
