	PC1	PC2	group	Clade	Genotype	name	PC12	PC22
13-A-B	-4.549494086	-7.732167255	L4.4:Ancestral	L4.4	Ancestral	13-A-B	-9.255369959	3.272480205
14-A-B	-9.225824501	-7.731779248	L4.4:Ancestral	L4.4	Ancestral	14-A-B	-11.43889267	2.692896296
15-E-B	-9.255369959	3.272480205	L4.4:Evolved	L4.4	Evolved	15-E-B		
16-E-B	-11.43889267	2.692896296	L4.4:Evolved	L4.4	Evolved	16-E-B		
21-A-B	13.49047699	-7.798454792	L4.9:Ancestral	L4.9	Ancestral	21-A-B	-8.226789168	-8.941955976
22-A-B	24.06681116	-3.482352678	L4.9:Ancestral	L4.9	Ancestral	22-A-B	-8.33944781	-9.116225955
23-E-B	-8.226789168	-8.941955976	L4.9:Evolved	L4.9	Evolved	23-E-B		
24-E-B	-8.33944781	-9.116225955	L4.9:Evolved	L4.9	Evolved	24-E-B		
29-A-B	35.19789979	-3.504132586	L4.4:Ancestral	L4.4	Ancestral	29-A-B	-8.690886884	6.001461084
30-A-B	-0.024364513	4.444240347	L4.4:Ancestral	L4.4	Ancestral	30-A-B	-8.009889582	5.09426515
31-E-B	-8.690886884	6.001461084	L4.4:Evolved	L4.4	Evolved	31-E-B		
32-E-B	-8.009889582	5.09426515	L4.4:Evolved	L4.4	Evolved	32-E-B		
37-A-B	-12.01985722	6.26432178	L4.4:Ancestral	L4.4	Ancestral	37-A-B	-10.18906918	8.769036226
38-A-B	-12.83605382	7.544381497	L4.4:Ancestral	L4.4	Ancestral	38-A-B	-7.517392891	10.91479893
39-E-B	-10.18906918	8.769036226	L4.4:Evolved	L4.4	Evolved	39-E-B		
40-E-B	-7.517392891	10.91479893	L4.4:Evolved	L4.4	Evolved	40-E-B		
45-A-B	36.18696961	9.065230167	L4.4:Ancestral	L4.4	Ancestral	45-A-B	-6.494467586	6.385140003
46-A-B	28.19888458	6.857650973	L4.4:Ancestral	L4.4	Ancestral	46-A-B	-7.267622195	5.916396956
47-E-B	-6.494467586	6.385140003	L4.4:Evolved	L4.4	Evolved	47-E-B		
48-E-B	-7.267622195	5.916396956	L4.4:Evolved	L4.4	Evolved	48-E-B		
5-A-B	-4.610380756	-9.075808631	L4.9:Ancestral	L4.9	Ancestral	5-A-B	-3.597127591	-8.323654803
6-A-B	1.678568604	-8.422205456	L4.9:Ancestral	L4.9	Ancestral	6-A-B	-6.526680328	-9.093562231
7-E-B	-3.597127591	-8.323654803	L4.9:Evolved	L4.9	Evolved	7-E-B		
8-E-B	-6.526680328	-9.093562231	L4.9:Evolved	L4.9	Evolved	8-E-B		
