	PC1	PC2	group	Clade	Genotype	name	PC12	PC22
13-A-B	-5.974232432	-12.70098071	L4.4:Ancestral	L4.4	Ancestral	13-A-B	-15.64780089	7.880117141
14-A-B	-13.86169501	-13.78981579	L4.4:Ancestral	L4.4	Ancestral	14-A-B	-21.09435297	7.416649552
15-E-B	-15.64780089	7.880117141	L4.4:Evolved	L4.4	Evolved	15-E-B		
16-E-B	-21.09435297	7.416649552	L4.4:Evolved	L4.4	Evolved	16-E-B		
21-A-B	31.84898292	-6.720474326	L4.9:Ancestral	L4.9	Ancestral	21-A-B	-17.48440429	-15.75444629
22-A-B	44.60654011	-4.225940543	L4.9:Ancestral	L4.9	Ancestral	22-A-B	-17.4882747	-15.69473117
23-E-B	-17.48440429	-15.75444629	L4.9:Evolved	L4.9	Evolved	23-E-B		
24-E-B	-17.4882747	-15.69473117	L4.9:Evolved	L4.9	Evolved	24-E-B		
29-A-B	67.27917532	-5.45147627	L4.4:Ancestral	L4.4	Ancestral	29-A-B	-14.49848379	7.919503342
30-A-B	4.665468783	8.640637314	L4.4:Ancestral	L4.4	Ancestral	30-A-B	-13.70775693	7.630408252
31-E-B	-14.49848379	7.919503342	L4.4:Evolved	L4.4	Evolved	31-E-B		
32-E-B	-13.70775693	7.630408252	L4.4:Evolved	L4.4	Evolved	32-E-B		
37-A-B	-21.98903071	12.53122276	L4.4:Ancestral	L4.4	Ancestral	37-A-B	-18.39131589	13.38192493
38-A-B	-23.2244888	12.81033864	L4.4:Ancestral	L4.4	Ancestral	38-A-B	-15.47445814	14.76634425
39-E-B	-18.39131589	13.38192493	L4.4:Evolved	L4.4	Evolved	39-E-B		
40-E-B	-15.47445814	14.76634425	L4.4:Evolved	L4.4	Evolved	40-E-B		
45-A-B	57.14682022	12.81948222	L4.4:Ancestral	L4.4	Ancestral	45-A-B	-15.89407362	8.928050057
46-A-B	48.73759583	11.28057102	L4.4:Ancestral	L4.4	Ancestral	46-A-B	-13.7112143	9.062517299
47-E-B	-15.89407362	8.928050057	L4.4:Evolved	L4.4	Evolved	47-E-B		
48-E-B	-13.7112143	9.062517299	L4.4:Evolved	L4.4	Evolved	48-E-B		
5-A-B	-8.454848323	-15.55691375	L4.9:Ancestral	L4.9	Ancestral	5-A-B	-10.08282267	-15.84271105
6-A-B	8.346971315	-12.82059809	L4.9:Ancestral	L4.9	Ancestral	6-A-B	-15.65230103	-16.50967879
7-E-B	-10.08282267	-15.84271105	L4.9:Evolved	L4.9	Evolved	7-E-B		
8-E-B	-15.65230103	-16.50967879	L4.9:Evolved	L4.9	Evolved	8-E-B		
