,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
35kd_ag,5812.51959572762,-3.4710687860848,0.72553171615818,-4.78417236460003,1.7169330435183e-06,6.34318885054163e-05
MTS2823,9.33051966712893,-2.62971954999053,1.00105845831852,-2.62693904450664,0.00861567661929126,0.0404247546977146
P55,4346.4856315996,-0.926286675452557,0.318694547475435,-2.90650305375543,0.00365493331409869,0.0209518731002493
PE12,2010.9400677227,-0.946535480467545,0.34154076895352,-2.77136894481946,0.00558211379645376,0.0292967314686365
PE13,4638.13903595855,-2.0496423671565,0.552963900042904,-3.70664769797354,0.000210020775748403,0.0023462320947893
PE17,1297.58841064454,-1.50166360487842,0.438278098532934,-3.4262802770775,0.000611908612743874,0.00532667015026764
PE18,29.1840424285911,-24.823205466912,2.98020567573292,-8.32935983883301,8.12806630635418e-17,5.44812672991626e-14
PE19,5993.20881417167,-2.22552429346235,0.598052029875668,-3.72128875463399,0.000198208634997367,0.00225180366926791
PE25,1217.50646883192,-2.23643379079068,0.655428682557048,-3.41216954690722,0.000644480144069601,0.00552815509318934
PE26,2045.44630326436,-1.55396867667698,0.480294609948201,-3.23544891924682,0.00121451614254516,0.00886237906815221
PE35,1652.16642515471,-1.84561616281061,0.552945363554805,-3.33779118961304,0.000844471854099212,0.00686700509433882
PE5,42.4245089437605,-1.64803456843004,0.549888950287016,-2.99703161441932,0.0027262243939414,0.0169647809766221
PE_PGRS15,1123.49790541618,-1.17354655068504,0.38868827316532,-3.01924866713409,0.00253402448247855,0.0159378590774657
PE_PGRS25,739.895852686245,-2.00424274150205,0.56552882536094,-3.54401517946122,0.000394082555735415,0.00377745926224096
PE_PGRS32,2293.5244748986,0.387308733408396,0.149395868149104,2.59249963340247,0.00952812828724496,0.0436581815661654
PE_PGRS54,439.570668036845,-0.775845858772284,0.261178979408126,-2.97055245613746,0.00297264633586615,0.0180202281755607
