,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
35kd_ag,4330.76939797629,-2.94826694245539,0.546680050190044,-5.3930392035167,6.92758305612818e-08,1.42592751238638e-06
MTS2823,10.064747351637,-3.57262837419477,0.789570625135984,-4.5247736687006,6.04601725382341e-06,6.12828487520373e-05
P55,3861.77872115926,-0.943401436732842,0.236003631719858,-3.99740220037241,6.40414362919524e-05,0.000471075956924973
PE12,1786.24003363694,-0.857014075464053,0.24808894432251,-3.45446298626654,0.000551389897494185,0.00292756354838351
PE13,3735.96192494225,-2.27664278349156,0.403442726522793,-5.6430383641157,1.67075098778925e-08,4.19295956454276e-07
PE17,1180.15980829994,-1.26804903277311,0.315402786044106,-4.02041164149953,5.809653676017e-05,0.000435538413762744
PE18,90.5105969842278,-9.1043002359735,1.57110714115856,-5.79483091729813,6.83900475874632e-09,2.03135755270864e-07
PE19,5646.5684250221,-2.44997696694184,0.451027299082025,-5.43199263532002,5.57282232207653e-08,1.18340521074684e-06
PE25,1137.24931755597,-2.47176642326455,0.505206898859484,-4.89258248223573,9.95213854454457e-07,1.30827412295652e-05
PE26,1825.81051456677,-1.53882099041837,0.361031954847409,-4.26228473617731,2.02347385609844e-05,0.000173922395726556
PE31,966.981657216688,-1.21268573456175,0.340362302491058,-3.56292611046022,0.000366743932433605,0.00206138925688034
PE34,688.951184523847,0.638397347894468,0.205603560395649,3.10499169696274,0.00190284366054484,0.0082915926638226
PE35,1255.73224823282,-1.60168200287597,0.393387628496128,-4.07151086321397,4.67091835631635e-05,0.000360536510628168
PE4,1363.49566773342,0.431078950332171,0.16801316088182,2.56574513609318,0.0102954444528157,0.0328014397943409
PE5,36.9853708220947,-1.84132385011955,0.397927067454477,-4.62728977422527,3.70481982434977e-06,4.04342312457522e-05
PE_PGRS15,975.502806238791,-1.05805793066194,0.271346528487543,-3.89928677753663,9.64764535740576e-05,0.000666810009754127
PE_PGRS18,823.033896977658,0.52850879782512,0.200867746647671,2.63112822563865,0.00851019205808466,0.0282050362490052
PE_PGRS25,544.78023967356,-1.39922489311694,0.425318843357204,-3.28982577417055,0.00100249434448647,0.00484521725919158
PE_PGRS32,1964.71369412741,0.355547303723147,0.135354903841551,2.6267781486466,0.00861975122072472,0.0284763194299613
PE_PGRS33,167.512565171818,-0.787378277061323,0.265157484641095,-2.96947407736607,0.00298309980270865,0.0120065929452073
PE_PGRS38,830.411830517577,-0.450946091911832,0.175261102008157,-2.57299587155879,0.0100822410375401,0.0322329265474678
PE_PGRS40,273.128983610994,0.379995585812873,0.157113834889389,2.41860041211772,0.0155803447715055,0.046131582342382
PE_PGRS41,855.620337369393,-0.830237259560448,0.208636847518805,-3.97934147028184,6.9106423162698e-05,0.000498948375234679
PE_PGRS5,541.01130717764,-0.326373814778671,0.124797141394464,-2.61523470114636,0.00891661611545696,0.0292422637525084
PE_PGRS54,410.077894337381,-0.473445089038244,0.198037820251072,-2.39068016623296,0.0168171957217842,0.0488602484910933
PE_PGRS7,1420.20246761827,-0.740530470296619,0.237992133746435,-3.11157540646115,0.00186091940333827,0.0081315593667286
PPE11,1453.22980045211,0.260913986078876,0.0961866048034514,2.7125813060148,0.00667614011487902,0.0231910625900276
PPE12,5489.87020013233,-1.5016497849669,0.390027047153279,-3.8501170519509,0.0001180613888821,0.000789262247897004
PPE18,5312.7279337208,-2.74549394722216,0.485822349997151,-5.65123022281347,1.59303556596763e-08,4.06310647341636e-07
PPE20,3139.99299459439,-1.71155057287664,0.532155226607154,-3.2162618861961,0.00129872257825614,0.00601627284851852
PPE24,3070.58026417238,0.29615704854632,0.111466568336348,2.65691366448703,0.00788596358045426,0.0265296251491554
PPE25,1195.75373793904,-1.16025504198287,0.302542761642695,-3.8350117374586,0.000125558298321266,0.000831093221469257
PPE26,549.908093029571,-12.8648508682656,1.83680795907262,-7.00391720578176,2.48903237503359e-12,2.99513562462376e-10
PPE28,2399.93069790374,0.239844799470158,0.0992698020768505,2.41609023542205,0.0156881729626995,0.046304777178584
PPE29,1608.91246754904,0.347751095859447,0.11237513685415,3.09455548259565,0.00197108064737791,0.00851623980162223
PPE32,1948.76593821468,0.166615678877063,0.0636504563730819,2.61766668098118,0.00885332379955343,0.0291160817037871
PPE34,5118.07965333883,0.524676219158444,0.159679900709007,3.28580000882259,0.00101693184158427,0.00488481180404811
PPE35,2857.17034087698,-0.693546644938096,0.286708803581516,-2.4189931954458,0.0155635313440357,0.0461108917913886
PPE4,3118.14745043164,-1.79675431708218,0.380553931824389,-4.72141835053043,2.34205648816632e-06,2.70720963028683e-05
PPE41,3142.52261296406,-2.77785550133106,0.525182506889361,-5.28931459995536,1.227755596633e-07,2.26544904449497e-06
PPE49,2990.6737753795,0.506496688516869,0.17738603602774,2.85533574039426,0.00429913549548639,0.0162185232156894
PPE50,965.979514336101,-0.871173564657895,0.259673036342771,-3.35488650237808,0.000793975527882844,0.00405013820908064
PPE51,1915.26124763902,-0.778595931126123,0.241753692012712,-3.2206165070074,0.00127915188067623,0.00594951414867549
PPE52,2208.52602906847,-1.13319980654487,0.26395807863103,-4.2931052249736,1.76191451851043e-05,0.000154266134988236
PPE53,3442.2289048221,-0.88842830199643,0.279579202650346,-3.17773387138363,0.00148430925659593,0.00672380631390417
PPE56,19054.0464157433,0.587659423923201,0.1722226722016,3.41220709451832,0.000644391373149867,0.00336606375401094
PPE58,649.846246575441,-11.565528062436,1.77601038607072,-6.51208357402897,7.41154606948818e-11,4.41710832468793e-09
PPE59,1966.0100339857,-3.13052965961579,0.77235435935529,-4.05322974059336,5.05153501289148e-05,0.000384851522978891
PPE60,3024.87987283058,-1.08674814485315,0.325349567916945,-3.34024769668843,0.000837036981011588,0.0041968104186831
PPE67,642.731900399417,0.427042169323806,0.152048040143738,2.80860028790969,0.00497573820914577,0.0182859353293039
PPE68,3893.16487574641,-2.51403797578625,0.458689982856774,-5.48090882676036,4.23146513078482e-08,9.36710653715714e-07
Rv0007,826.787652938293,-1.20126609845891,0.32508950366162,-3.69518574093762,0.00021972609986465,0.00132883323023815
Rv0011c,1382.35532556579,-1.0215183712076,0.352754070005481,-2.89583723638322,0.00378148476672928,0.0145941677715958
Rv0027,247.273153266909,-2.01203832847538,0.430991671267904,-4.66839259922659,3.03565397186373e-06,3.35998209668785e-05
Rv0034,191.196750383376,0.483626572414832,0.200736342582442,2.40926264867164,0.0159847896718028,0.0469734614463184
Rv0038,1642.97225948796,-0.767278644737777,0.23594078890256,-3.25199660604106,0.00114597390232828,0.00542142693913974
Rv0047c,2106.46222109609,-1.27592311938507,0.298633773048176,-4.27253457089474,1.93263578752707e-05,0.000166823509443716
Rv0049,769.385911558695,-0.658003105411009,0.19639807872322,-3.35035408537942,0.000807083185689717,0.00409474744912631
Rv0057,751.519188342165,-1.94946309969639,0.424279772371496,-4.59475852171774,4.33250694601374e-06,4.62101252219147e-05
Rv0059,814.705121919657,-0.521981238965603,0.209265760789347,-2.49434612235035,0.0126189427291062,0.0389353703009173
Rv0060,2852.78810577588,-1.48880482675941,0.37160651423237,-4.00640131359067,6.16508663740354e-05,0.000455997785530537
Rv0061c,770.170080056612,-2.37637618328396,0.462461400616039,-5.1385395194462,2.7688196904399e-07,4.4500242490529e-06
Rv0064,5558.38476522494,-1.19544577057298,0.36096242104433,-3.3118288798993,0.000926882222086393,0.00455482541178162
Rv0072,1628.45529954681,-0.634706181180561,0.22638516671562,-2.80365622177827,0.00505267476502761,0.0184962579346916
Rv0073,1351.84175297809,-0.676678102360119,0.232538056243001,-2.90996713954207,0.00361466758461654,0.0141034998601894
Rv0078A,1166.87277954621,-1.52984888819538,0.40248618698591,-3.80099724577365,0.000144114904174057,0.000932870683157033
Rv0078B,554.07022020711,-1.35240762714998,0.406358933427582,-3.32811097751097,0.00087437027731649,0.00434452361014766
Rv0079,2625.54301901078,-1.26919188511635,0.395464135428649,-3.20937291504488,0.00133024837907338,0.00614454295570017
Rv0080,805.70769640261,-1.26233868823437,0.381713357798299,-3.30703304572696,0.000942897681602142,0.00459981166295099
Rv0081,183.838572835903,-1.71410778241647,0.476873539619431,-3.5944703155147,0.000325052201074259,0.00186196081254242
Rv0088,2080.87297796769,-1.28009973725264,0.32330520589893,-3.95941579008417,7.5133330651578e-05,0.000536682984395519
Rv0089,752.290850132794,0.484149550115258,0.200511684954166,2.41457025422697,0.0157537845462584,0.0464376966733123
Rv0094c,136.127593485624,0.481912703723844,0.184229493375273,2.61582819826896,0.00890113317632216,0.0292119006968391
Rv0097,2397.8538558891,-1.83481537916589,0.333860283204083,-5.49575817032509,3.89035332543171e-08,8.82001360205364e-07
Rv0100,24.4247455566528,-1.70382294709874,0.45017878666883,-3.78476951281168,0.000153851098572845,0.000983682841420109
Rv0108c,3356.00351425398,-3.10514527395229,0.504113425507445,-6.15961630227687,7.29214099842078e-10,3.00193137768322e-08
Rv0110,1375.02289783393,0.3515680534663,0.101288450625813,3.47095894244732,0.000518603287770236,0.00277514849430526
Rv0122,665.458749232671,0.423638942161985,0.116336292488857,3.64150286293989,0.000271051110621572,0.00159115504035359
