"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rv3172c",511.985849810919,-0.0109159641869245,0.214304443453217,-0.0509367141951373,0.959375949771944,0.995552178429214
"Rv3173c",1220.56843993828,-0.135596125561337,0.187393835643121,-0.723589039607314,0.46931807225829,0.941085591908554
"Rv3174",1525.73933580258,0.226899109684456,0.245137959203616,0.925597612142922,0.354655134783368,0.918746130668857
"Rv3175",2445.69056950131,-0.0194417897130511,0.187277453880127,-0.103812761815394,0.917317938729311,0.994426326488543
"Rv3177",1358.52698420912,0.0826686240688589,0.27617558311211,0.299333573002001,0.764685540676862,0.989107800028105
"Rv3178",1003.33229204798,0.137779300077695,0.1949454598891,0.706758188449603,0.479716762010174,0.942164780430183
"Rv3178a",663.879686144546,0.219451602329861,0.20906522301446,1.04968009105313,0.293865220161973,0.904683330619678
"Rv3179",2903.17908217423,0.0393430404189534,0.179719632817949,0.218913425328477,0.826717488212204,0.993821080104612
"Rv3180c",1126.7950625845,-0.0673681985130103,0.182603878492289,-0.36893081937389,0.712179290733237,0.985831208549352
"Rv3181c",772.557433791768,0.368180343233957,0.24191167641354,1.52196185274069,0.128018639371935,0.721378516134306
"Rv3182",603.972969743694,0.159680975223431,0.278241753194592,0.573892930841893,0.566040257046062,0.961957968529609
"Rv3183",340.901553281355,0.054223321314712,0.241597979821609,0.224436153624916,0.822417941602267,0.993821080104612
"Rv3188",1114.76132473175,0.534872005256885,0.187713749347535,2.84940238589885,0.00438014443337656,0.163465119982329
"Rv3189",2901.86637961411,0.520148972423385,0.238148461457418,2.18413744619715,0.0289521498006804,0.39160278480403
"Rv3190A",2053.16856116618,0.728822639290383,0.191872577515936,3.79847213565393,0.000145590792864117,0.0253813282226445
"Rv3190c",6110.34939309724,0.414270100321355,0.163759448906855,2.52974776775774,0.0114144550756827,0.257071004982002
"Rv3191c",4165.52424230432,0.546263082193228,0.182943079801699,2.98597292002162,0.00282677674176154,0.126720363080681
"Rv3192",2663.95738985847,0.415045248041498,0.217209948343756,1.91080220407146,0.0560300043708174,0.517827513008982
"Rv3193c",9084.45326856523,0.00602587612374124,0.226106153970405,0.026650650669729,0.978738374195463,0.996817195328126
"Rv3194c",4027.38021133679,0.425174169446496,0.205876868893294,2.06518669014179,0.0389053393858315,0.45684519684797
"Rv3195",4470.78917696285,0.368143232352629,0.199613914196699,1.84427640645262,0.0651428681071022,0.548336977077965
"Rv3196",2225.92689689704,0.41375973157063,0.18876702597738,2.19190681968052,0.0283862355571973,0.386786477176063
"Rv3196A",1203.31307720039,0.882325883504051,0.309891723979366,2.84720699273273,0.00441046743950622,0.163465119982329
"Rv3197",7954.44937089208,-0.133311671513501,0.311954951425754,-0.427342700938759,0.66912973530791,0.983817426487165
"Rv3198A",1663.68058105001,0.262388942554813,0.187437188407964,1.39987664552305,0.161550260763671,0.785554832039876
"Rv3200c",3372.28959345617,0.315151781236472,0.186999324223241,1.68530973331348,0.0919288288109703,0.637667780319301
"Rv3201c",7956.32782597193,0.450596753454025,0.155933582864747,2.88967100720608,0.00385645190725985,0.151269326062268
"Rv3202a",1480.34900477641,0.75885648589974,0.174762104431389,4.34222561217592,1.41046582407899e-05,0.00577403984035125
"Rv3202c",6254.7054939155,0.458158940060444,0.168534329177562,2.71849030578063,0.0065580577467601,0.191220399679878
"Rv3204",319.011891126505,0.390389032030287,0.295198961818822,1.32246072149091,0.18601478053218,0.81213468292206
"Rv3205c",2977.53823863267,0.34894445298147,0.166336275806178,2.09782533178796,0.0359205779095888,0.43464822678775
"Rv3207c",2443.49889064769,-0.0769059177778438,0.1921178213422,-0.400306006181796,0.688931144697193,0.984745949754291
"Rv3208",4799.87371390811,0.567629628783577,0.184953801943985,3.06903466064184,0.00214751674301315,0.109873492493075
"Rv3209",2376.40168548815,-0.0159851549563325,0.200094042630207,-0.0798882102945691,0.936326166680729,0.994426326488543
"Rv3210c",3415.57025134515,0.537407783182586,0.219342286578393,2.45008744809686,0.0142821523644082,0.284404629165895
"Rv3212",4923.3547295468,0.0513767882434631,0.22285831788486,0.230535654810098,0.817675560963834,0.992982163430539
"Rv3213c",4416.77481877491,0.21658192547229,0.212720983994511,1.01815026146117,0.308606552567906,0.911054543201039
"Rv3217c",2353.79789467402,0.402494612124429,0.170964307741134,2.35426105859397,0.0185595715196619,0.323357022640268
"Rv3218",2810.02060562273,0.424917905210417,0.246457519871763,1.72410200926923,0.0846894294362471,0.619958233835793
"Rv3220c",7286.69412965784,0.380144945310229,0.155550289580404,2.44387166578518,0.0145305942783352,0.286173670577925
"Rv3222c",759.308636476389,-0.0299733100529675,0.318411281740527,-0.0941339449064895,0.925002755956216,0.994426326488543
"Rv3224",4344.96796457558,0.194205771497184,0.226878748152797,0.855989258925177,0.392003720700464,0.924581494598887
"Rv3225c",5784.67141178984,0.375977250313377,0.160844504142873,2.33752003101958,0.0194121606325411,0.325936142965578
"Rv3226c",3291.32151129756,0.54704148647434,0.187912001100111,2.91115779339128,0.00360092114241831,0.143797679754971
"Rv3228",1904.81190403337,0.312817632488627,0.225146336923425,1.38939694406407,0.164712079048626,0.791358507366802
"Rv3230c",4688.55102415396,0.145058099459918,0.196510644008242,0.738169172423221,0.460411653517949,0.941085591908554
"Rv3231c",772.81665594342,0.334017239008772,0.292289703070355,1.14276088243989,0.253137884161684,0.878427977758977
"Rv3235",1257.4524711883,0.210657644009098,0.203137061424635,1.03702220821607,0.299725507277645,0.907981476876181
"Rv3237c",1328.89891153707,-0.153640205720065,0.293671025135187,-0.523171142435108,0.600855161336772,0.971946719598884
"Rv3238c",2275.96910953483,0.479031670695285,0.191308504051888,2.50397478705577,0.0122806785254852,0.267616452867864
"Rv3239c",8018.23342098609,0.490293896240257,0.168401916460932,2.91145081091759,0.00359754546936305,0.143797679754971
"Rv3241c",3096.15229242611,-0.0799917619590436,0.290160445732059,-0.275681138265516,0.782792983926405,0.989107800028105
"Rv3242c",1194.89453557842,0.0947645169089026,0.239285794587667,0.396030684028691,0.692082392328897,0.984745949754291
"Rv3243c",2209.65542663047,0.412613795747101,0.203237592207567,2.03020411364496,0.0423357958797374,0.469987243410198
"Rv3249c",2173.2159228682,0.247775191637205,0.168282495269586,1.47237650143155,0.14091923511383,0.743617533274434
"Rv3253c",6197.46526458624,0.592447801581218,0.201479862048991,2.94048147321622,0.00327702598105037,0.140226920843673
"Rv3254",5701.41575082742,0.516370353625437,0.176427558402604,2.92681233193224,0.00342455455790482,0.143797679754971
"Rv3256c",1345.58890722941,-0.00833238614346324,0.218641878089954,-0.0381097446484389,0.9696001818496,0.995552178429214
"Rv3258c",611.258373075351,0.119921477338024,0.211117170412644,0.568032799528472,0.570012696579401,0.961957968529609
"Rv3259",2482.21631122972,0.555700603160368,0.180507658609543,3.07854307922971,0.00208015452373987,0.108792081591595
"Rv3263",6463.2159706188,0.485692749424693,0.200772302908318,2.41912227129497,0.0155580096279248,0.296269553568466
"Rv3267",6154.78946635269,0.318953024956444,0.167326176270314,1.90617530422244,0.0566274651772616,0.517827513008982
"Rv3268",2521.32357272251,0.139331898321216,0.185819755915987,0.749822846523435,0.453361406927579,0.940383753844464
"Rv3269",4862.2470621671,-2.81254177340399,1.03155339628793,-2.72651108854373,0.00640078019198213,0.190880317541408
"Rv3271c",3520.95930989536,0.397930681562674,0.163336181837258,2.43626780720977,0.0148396932515015,0.287903517419409
"Rv3272",4391.97900691249,0.315496344453024,0.178226333989821,1.77020049389022,0.0766937471017814,0.59394187177976
"Rv3273",10250.3090963056,0.270056409607421,0.157639127013352,1.71313058327548,0.0866885187125766,0.62775824243092
"Rv3277",4352.76363716174,0.37271274733638,0.189962033249576,1.96203810288081,0.0497580483151015,0.49726355290697
"Rv3278c",1974.34031597333,0.622764606470547,0.169161593369624,3.68147753911128,0.000231886220438785,0.0321752195351627
