"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PE_PGRS49",19.0754892244536,0.480442619241202,1.32682609232192,0.362099164330146,0.71727792810406,NA
"PE_PGRS50",1450.83873742044,0.384922944398868,0.186544688870833,2.0634355592155,0.0390712643986205,0.170668180392702
"PPE54",53692.2917309716,0.522212095355015,0.124245060309441,4.20308134628782,2.63305910029839e-05,0.00112311044240765
"PPE55",46656.599499877,-0.124531152898579,0.100347658815007,-1.2409970931973,0.214606822697719,0.451366607738428
"Rv3172c",897.740556073975,0.381480248090488,0.265332802474893,1.4377425050059,0.150507128102341,0.370104812855109
"Rv3173c",2378.51291825652,0.177419775092348,0.149558245856352,1.18629216380858,0.235506940176363,0.474951905993995
"Rv3174",2466.83536731651,-0.657207104237646,0.177580016915885,-3.70090686807935,0.000214830318850075,0.00514697056273361
"Rv3175",6611.50235987004,-0.0380799557482954,0.112206686908689,-0.339373318983065,0.734328515561816,0.868482856964014
"Rv3177",2921.05857867729,0.271670542395114,0.164018906401768,1.65633675016496,0.0976536421039127,0.285459411571807
"Rv3178",1537.95519454317,-0.282575076556187,0.17529020898769,-1.61204141513706,0.106952927791722,0.300945229618631
"Rv3178a",1120.60583757243,-0.570600622449556,0.204411133015971,-2.79143613183229,0.00524747126192749,0.0470519820028233
"Rv3179",6609.54578896656,-0.184032894476789,0.110612447768885,-1.66376296871496,0.0961598070130994,0.283064413421924
"Rv3180c",3161.43446996633,0.038459444971861,0.139593736302243,0.275509818639642,0.782924583421382,0.89510716401182
"Rv3181c",1937.14661595853,-0.403120272252423,0.227639907784148,-1.77086819343939,0.0765826226176464,0.247713033045314
"Rv3182",1339.20978253907,-0.387709314306769,0.242552392069033,-1.59845595007128,0.109941541337601,0.306420348772295
"Rv3183",906.416417999836,0.376951726880054,0.245571611849595,1.53499716046545,0.124784525532135,0.329772191388919
"Rv3188",1411.42585696392,-0.0875905286561952,0.180968806700616,-0.484008986151409,0.628379491704455,0.802216503535422
"Rv3189",3364.92534978414,-0.315533547376872,0.184693990840751,-1.70841263400353,0.0875598046364131,0.267664399437769
"Rv3190A",2792.45789781173,-0.516306275246216,0.223705720855421,-2.30797081662431,0.0210007597067473,0.117153598525877
"Rv3190c",7651.7164014397,-0.080602739419206,0.11293270357301,-0.713723632473718,0.47539809010307,0.696091396609051
"Rv3191c",6854.20776114329,0.0727046048796815,0.111532064224859,0.651871776829147,0.514483893167392,0.72629275855737
"Rv3192",4258.82032273285,0.0662104105699621,0.128946827941843,0.513470642331924,0.607622141645575,0.788867248071678
"Rv3193c",10843.9496603295,0.236919754248079,0.13315593501365,1.77926544711501,0.0751962529682584,0.245139784676522
"Rv3194c",5056.79395160019,0.0913096011652446,0.130981236684961,0.697119705663371,0.485727882988208,0.704835832371338
"Rv3195",6066.2598347473,-0.0469226603834996,0.121629092003879,-0.385784844813304,0.699656020189911,0.846337152437518
"Rv3196",3086.09845839677,0.0833588686452613,0.135304066973851,0.616085462245353,0.537838116417821,0.739685235538314
"Rv3196A",2283.08459967981,0.220010101120955,0.176675898854331,1.24527511985295,0.213030637942426,0.449709450309543
"Rv3197",8571.44014876416,-0.0351268413102625,0.112572056717369,-0.312038727323373,0.755011091525895,0.878824438083189
"Rv3198A",1372.40074925646,-0.119150749213323,0.179714701632862,-0.662999454862271,0.507330903213678,0.720877410419435
"Rv3200c",3993.09657325371,-0.00519947231341259,0.124793393388833,-0.0416646440345763,0.966766039445975,0.984673109580769
"Rv3201c",10561.713939419,0.0147180190467254,0.10447256556862,0.140879272626442,0.887965316871609,0.946223139435448
"Rv3202a",1672.0781940117,-0.047404436022902,0.179521254654692,-0.264060298119486,0.791733455876265,0.90052379606105
"Rv3202c",7388.5022326568,-0.0994972622492216,0.114193414997554,-0.871304726733612,0.383587790306995,0.61721495866417
"Rv3204",258.496922722345,0.525348953224492,0.430296738291944,1.220899222499,0.222124178911701,0.458306850159585
"Rv3205c",3961.94658455156,0.0178434439358018,0.130411319079986,0.136824349770266,0.891169636315236,0.947945217710423
"Rv3207c",3068.99367769392,0.444221977889964,0.140189107178532,3.16873391114648,0.00153104494273054,0.0201374326185078
"Rv3208",6366.82824055606,-0.154054798035901,0.13430204304107,-1.14707709985313,0.251349757417218,0.493121626471734
"Rv3209",2983.43279348702,0.218099943443037,0.143369163766716,1.52124723136364,0.128197806911623,0.335472631421394
"Rv3210c",5408.81638870894,0.023233850810631,0.119283869936452,0.1947778087935,0.845566895569228,0.924069840680352
"Rv3212",5648.85567842477,-0.0721065527738944,0.116300893143403,-0.619999991616438,0.535257792457434,0.738264298814062
"Rv3213c",4077.93468551145,-0.108357123736463,0.14854814715804,-0.729441099128505,0.46573188513741,0.689635751251562
"Rv3217c",2777.79274394836,0.0509914416784191,0.148010473844132,0.344512387225498,0.730460981906731,0.865478691958028
"Rv3218",5102.72822395976,0.0545095085512749,0.119019715393979,0.457987219771428,0.646961623119644,0.812459117243632
"Rv3220c",8067.54120492997,-0.114841446553406,0.105572135708395,-1.08780073248319,0.276683086104894,0.520734682467108
"Rv3222c",971.691437925764,0.632692059771258,0.215797519257864,2.93187828083988,0.00336918768033753,0.035103736473195
"Rv3224",6754.4284468075,0.0447919535735227,0.116526513103832,0.384392807957881,0.700687330268137,0.846550139778576
"Rv3225c",7359.64233497293,0.057090225301036,0.108729877167334,0.525064745664844,0.599538182683305,0.784585385429486
"Rv3226c",5108.17258270039,-0.131116261684235,0.116954331213971,-1.12108940578143,0.26224980775747,0.504221852025478
"Rv3228",2252.40723561611,-0.0370556571149865,0.16971267322707,-0.218343488499573,0.827161492829452,0.916302197396509
"Rv3230c",5689.66948948305,-0.221030761563439,0.145096364093211,-1.52333770005048,0.127674239766745,0.334882778765013
"Rv3231c",655.738385466287,-0.181142540677117,0.249858675999433,-0.724979990999104,0.46846430568248,0.691484828956933
"Rv3235",1486.1489583955,-0.00701660668977173,0.184506420414173,-0.0380290651892825,0.969664508114153,0.985645615820266
"Rv3237c",882.504066217568,-0.00374810858027087,0.235306602922927,-0.0159286162551866,0.987291340425885,0.995580573951334
"Rv3238c",2263.58282123536,0.247157513221771,0.20260565184453,1.2198944647972,0.222504884422469,0.458677638890763
"Rv3239c",11374.3980453947,0.255780885364842,0.101999759189558,2.50766165917603,0.0121532974908487,0.0821742959233088
"Rv3241c",3342.67526182393,0.233510343226864,0.134000038002219,1.74261400749003,0.0814010615751367,0.256538660626275
"Rv3242c",1566.26478731765,0.227386440620867,0.203016463896988,1.12003941087381,0.262696967973603,0.504608148918992
"Rv3243c",3144.23976915444,0.174069642057859,0.134105135413438,1.29800877141068,0.194284320879088,0.42446799449122
"Rv3249c",1766.70803611264,-0.666226740031486,0.242494637549017,-2.74738751654588,0.00600721106493275,0.0521234055139792
"Rv3253c",6858.92373449329,-0.13461506124407,0.109403207103388,-1.23044894942482,0.218529032800061,0.45414818060638
"Rv3254",6479.17551097385,-0.359234991869015,0.147387664002474,-2.43734775430721,0.0147954430403956,0.092631017229327
"Rv3256c",1470.03821592056,0.0349891170170274,0.192003850895023,0.182231329496393,0.855401187233815,0.929704390971365
"Rv3258c",539.497249752295,-0.120211804936639,0.277245429152438,-0.43359346014878,0.664583684658871,0.823537343618134
"Rv3259",2633.60796745184,-0.66312068940001,0.19020962383285,-3.48626255621397,0.000489820001831663,0.00923951245833765
"Rv3263",6567.83283756438,-0.459631707664294,0.109537258949964,-4.19612205080146,2.71523965534206e-05,0.00114744016546122
"Rv3267",7423.85501472343,-0.273571820001142,0.142353871957073,-1.9217729468127,0.0546343338073056,0.202601788903157
"Rv3268",3244.18465719052,0.0379456744325001,0.136938946715909,0.277099213500024,0.781703925723429,0.894807854520142
"Rv3269",1197.79477762467,0.447800571027812,0.270428181992708,1.65589461766927,0.0977431618012858,0.285459411571807
"Rv3271c",4921.86542767732,-0.13448186395508,0.135300957472683,-0.993946136576535,0.320249091294676,0.56472377252492
"Rv3272",5650.4900858771,-0.258425151028414,0.151510359350263,-1.70565994389192,0.0880714116305215,0.268501435233343
"Rv3273",11785.1727479035,-0.153856312069834,0.101740027770783,-1.51224955841832,0.130470387865951,0.338224277092845
"Rv3277",4650.4603255918,-0.252972809221585,0.1219416590467,-2.07453967084952,0.0380292184034104,0.167048518068285
