"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PE_PGRS49",0.661395546710239,-0.207187976168644,3.15263127510177,-0.0657190638832177,0.947601494439545,NA
"PE_PGRS50",44.529665160755,1.57861645511563,0.554406707834348,2.84739782691682,0.00440782408685128,NA
"PPE54",4485.08633892874,0.288896333136487,0.40767400481645,0.708645461136426,0.478544517376784,0.699065458656926
"PPE55",29477.2738047322,1.90445153479176,0.382083090171417,4.9843910494373,6.21572574838856e-07,2.59102102086937e-05
"Rv3172c",152.136762513589,-1.06151533250737,0.490857253717525,-2.16257440318534,0.0305739287623553,0.121083595884747
"Rv3173c",459.077969271825,-0.908762703084162,0.407179973030527,-2.23184528531817,0.025625190144519,0.107111886826609
"Rv3174",92.1791662537828,0.328487055274673,0.492396864958291,0.667118494555196,0.504696447540182,0.720014669416209
"Rv3175",75.0057794002207,0.902237521000615,0.547688635774478,1.64735483277789,0.0994851334451153,0.273719042561922
"Rv3177",83.8427049560961,-0.420778654171434,0.458050869148594,-0.918628655707083,0.358289838211614,0.58901997713557
"Rv3178",65.1114954370823,-0.000575142331447776,0.493726944246614,-0.00116489962346575,0.999070544785762,NA
"Rv3178a",28.8682990792036,0.155182126509747,0.600060809298953,0.258610667627245,0.795935651616255,NA
"Rv3179",215.456498139747,0.0840423530854241,0.389892269551398,0.215552755590978,0.829336385566185,0.917031475755051
"Rv3180c",87.4961057893901,0.349565241658064,0.449294606601285,0.778031243914478,0.436550594281047,0.664544001199213
"Rv3181c",64.1209946414183,0.10515930786135,0.502814223117693,0.209141474179689,0.834337798815733,NA
"Rv3182",169.358823950948,-0.112185112988544,0.43483871467245,-0.257992467559034,0.796412720515166,0.89825200464331
"Rv3183",33.7900445882083,-0.0946054441999234,0.579054890624454,-0.163379060831177,0.870219988397946,NA
"Rv3188",78.2065770551263,-0.00959990943790132,0.453367990756981,-0.0211746520125351,0.983106334512145,0.993408336953158
"Rv3189",401.143453982112,-0.163111500495104,0.389167142610259,-0.419129681403899,0.675121359624595,0.835232352735039
"Rv3190A",33.853819757778,0.616882239876304,0.573971544347677,1.07476101550887,0.282481738433615,NA
"Rv3190c",318.303405985165,0.160626415300052,0.380260789558596,0.422411197027457,0.672724906467903,0.833850057182008
"Rv3191c",96.0557447104857,-0.0429847703436191,0.469731865115372,-0.0915091641335882,0.927088024864528,0.967913517834797
"Rv3192",54.0216566257112,0.0987579301678735,0.557218024540949,0.177233911715675,0.859324659594871,NA
"Rv3193c",1380.08258981746,-0.194740727942358,0.391642929428496,-0.497240504830594,0.619019461193105,0.794129941151189
"Rv3194c",154.139111222011,-0.261807981052798,0.437832006592973,-0.597964463790755,0.549863644801051,0.749321572382265
"Rv3195",207.936025187494,-0.315048788602195,0.400018835112689,-0.787584885880294,0.430939558234439,0.659526397303018
"Rv3196",43.6829673253597,0.282274719910242,0.557155367705855,0.506635556743423,0.612410555009027,NA
"Rv3196A",52.7229798766104,-0.672677756007556,0.587188003326633,-1.14559179035776,0.251964095739648,NA
"Rv3197",3850.75307581046,-0.665567384538522,0.419526809029566,-1.58647163950759,0.112632360614796,0.29914217562727
"Rv3198A",64.5690076677672,-0.132736780694766,0.466359879416354,-0.284623070193957,0.775932934534382,NA
"Rv3200c",229.748480084671,0.233512263284154,0.387348201161925,0.60284845155777,0.546609511067737,0.747536289921076
"Rv3201c",188.018223526851,1.11947418528329,0.413259910490883,2.70888648248882,0.0067509433554791,0.0415852644346617
"Rv3202a",245.361042185366,1.39409580808032,0.38715478229762,3.60087456444909,0.000317148568211589,0.0039715353624192
"Rv3202c",192.848103491025,1.42991716112622,0.402844736728114,3.54954907128722,0.000385891536708187,0.00455287504932433
"Rv3204",58.501479910083,0.621407909156567,0.489172355425975,1.27032507512703,0.20396885979473,NA
"Rv3205c",423.387499600756,0.660544733708278,0.368267506212785,1.79365467374853,0.07286830412489,0.217550046392825
"Rv3207c",495.987125272368,-1.19168358295497,0.472245132509391,-2.52344280738833,0.0116211962517634,0.0604500858019078
"Rv3208",197.546092952945,-0.0201848053237137,0.392134271317411,-0.0514742189095101,0.958947644939958,0.983982156501029
"Rv3209",96.5411630185153,1.53121796028786,0.452970303500626,3.38039370010432,0.000723820674770637,0.00731756250274766
"Rv3210c",123.318732085505,-0.480147069713535,0.421124929504768,-1.14015351757536,0.254222348908439,0.481992902011451
"Rv3212",516.379008742057,0.255844192720295,0.365476573525486,0.700028979292306,0.483909206833691,0.700873734600153
"Rv3213c",675.112562290478,1.30178698977132,0.39026552792915,3.33564431549705,0.00085101969968284,0.00824730237622574
"Rv3217c",206.256296355262,1.00831142536396,0.397431813401103,2.53706772171843,0.011178532740991,0.0587500434038613
"Rv3218",62.5229205621368,1.08141084497063,0.490101086441462,2.20650570849081,0.0273486109833948,NA
"Rv3220c",1639.54016173966,2.3045856139027,0.357113878801017,6.45336334068049,1.09394652088922e-10,1.76846161687443e-08
"Rv3222c",74.8922074193496,2.39857169821991,0.524850502342766,4.57000934078076,4.87702476957407e-06,NA
"Rv3224",150.563243966328,1.14272274545175,0.424853856198325,2.68968429680044,0.00715196435859649,0.0433534413211337
"Rv3225c",754.590371223924,1.61240900948239,0.360680452454857,4.47046408672285,7.80500496644392e-06,0.000196286199280073
"Rv3226c",147.967657523943,1.37593522297542,0.430680460251138,3.19479370430014,0.00139930824196386,0.0123423042907131
"Rv3228",79.8324926402364,1.26233642460882,0.464635699007599,2.71683047020494,0.00659103586354662,0.0408483139160334
"Rv3230c",1542.51006308737,0.193949402245495,0.394305607225658,0.491875841203797,0.622807117823964,0.797979814542452
"Rv3231c",24.4954475816938,0.925988209666723,0.69453133163326,1.33325620816727,0.18244773936102,NA
"Rv3235",95.2087616371268,1.75211045387991,0.458312465005829,3.8229605076476,0.00013185890510028,0.00193315924776599
"Rv3237c",305.829712043371,-0.0162018723693601,0.410189650965755,-0.039498491322768,0.96849295632979,0.988546183934373
"Rv3238c",593.27946991319,-0.649272123431701,0.390282681648241,-1.66359450204067,0.0961934913562264,0.267602834003728
"Rv3239c",381.239552843162,1.25762816219819,0.371325976361476,3.38685748441665,0.000706981028637473,0.00724358003415431
"Rv3241c",478.577987255783,-0.338517544711071,0.37642524240237,-0.899295548169487,0.36849525801124,0.600052156415435
