"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"35kd_ag",3764.60659512274,-3.28377781003441,0.280701732560729,-11.6984593578309,1.2978843939318e-31,1.91662424965526e-30
"F6",12.2193829508569,-4.81492385488431,1.3873600674255,-3.47056540543168,0.000519363839473083,0.000875110366044347
"MTS2823",27.7611457624414,-6.59508405698858,1.07077010656546,-6.15919702702813,7.31147155257828e-10,2.42819451279403e-09
"P55",6281.12223903942,-2.16096700854205,0.251856488365464,-8.58015222306406,9.47476713154003e-18,6.42041940111284e-17
"PE12",1933.00669355855,-1.94737629539223,0.256629914872607,-7.58826692655423,3.24212503040135e-14,1.67124249646155e-13
"PE13",3734.14449768702,-1.68956433268097,0.547787609042124,-3.0843420055364,0.00204002932480496,0.00319865699809152
"PE14",274.277516790357,1.84057015714281,0.478145126822145,3.84939645704566,0.000118409223739377,0.000216614614211185
"PE15",720.324122807562,-2.00836077046453,0.513719004834295,-3.90945390683442,9.25050034828928e-05,0.000171362325978566
"PE16",908.139191955266,1.42548739429491,0.290626675175565,4.9048745901724,9.34870503040195e-07,2.17119282011709e-06
"PE17",1778.86363305613,-2.04525659096645,0.260447240386152,-7.85286335894385,4.06644630938915e-15,2.23869072319947e-14
"PE19",6781.44122363967,-2.9770602575281,0.438428977830562,-6.79029080664152,1.11907737782951e-11,4.50315969690435e-11
"PE2",677.812364652826,0.90495964241769,0.309226756655834,2.92652438037534,0.00342772638280592,0.00521094305395163
"PE20",492.728070068997,1.77370763269696,0.350058981875169,5.06688222423463,4.04384306695793e-07,9.84442044708887e-07
"PE22",426.604234357225,-1.55246359870615,0.521594202729161,-2.97638200459883,0.0029167129809521,0.00447464363232639
"PE23",1934.01350393387,-1.44236268495442,0.300894500621045,-4.79358274071939,1.63828844504799e-06,3.70587790845152e-06
"PE24",460.511830598932,2.89834822178443,0.424078136796019,6.83446744904591,8.23102223469478e-12,3.36991110846789e-11
"PE25",2387.82156813986,-4.14918120271082,0.27278031358735,-15.2107061838323,3.00286314743769e-52,1.17512044503062e-50
"PE26",2578.30256821874,-2.41632560323293,0.285965887040673,-8.44969876735421,2.9205537894064e-17,1.91015607173433e-16
"PE27",358.816063247582,2.40368980476812,0.381718213226334,6.29702676341222,3.03408910988566e-10,1.04919605743911e-09
"PE29",356.956895366686,3.24297211647443,0.435539707218258,7.4458701760786,9.63074791311031e-14,4.78076027483785e-13
"PE3",829.033918143549,2.41533220320031,0.304834372752476,7.92342471549805,2.31056676923337e-15,1.29018092132222e-14
"PE31",900.150546137579,-1.85942464841179,0.271069063632778,-6.85959741584816,6.90548754846491e-12,2.84208321889493e-11
"PE32",226.547232942199,2.19011329463537,0.423798272609931,5.16782024888329,2.36839922679313e-07,5.90967203454865e-07
"PE33",114.840767253651,2.18582265151499,0.500489298226802,4.36737140885771,1.25750787161078e-05,2.57197603008896e-05
"PE34",463.707377570665,1.28499323487332,0.378546731967781,3.39454319997322,0.000687431936648499,0.00114110299558195
"PE35",1711.563459948,-3.00649844492535,0.300923307175645,-9.9909125456025,1.6703684485932e-23,1.5943191533727e-22
"PE36",477.823486981561,-1.07222151243713,0.328012893487858,-3.26883952955594,0.00107989527442214,0.0017486855892022
"PE4",753.142651066731,2.28435043477545,0.315239818726871,7.24638925374667,4.28028850083882e-13,2.00601145707975e-12
"PE5",116.417739196316,-3.40683140918063,0.529588540477404,-6.43297796079482,1.25127800329322e-10,4.52696571915636e-10
"PE6",409.755702834441,3.39011716549671,0.414312686995387,8.18250869912283,2.77994670988454e-16,1.68664467049325e-15
"PE8",406.599495473204,1.74175927770634,0.359192329014301,4.8490993181455,1.24023316596557e-06,2.84938108971347e-06
