,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,341.190475076586,0.305016627194909,0.199260770667769,1.53074097913366,0.125833421582842,0.150161639889873
35kd_ag,14357.7288480619,-5.56148619157513,0.450124199530263,-12.3554481127185,4.55212471834887e-35,1.80860887969357e-33
C8,0.443708454160308,-2.11215804145105,1.19214756519691,-1.77172533259519,0.0764401623863167,0.0945602008797764
MTS2823,15.2986506066942,-5.42782146504308,0.708409464680769,-7.66198326766994,1.83083497548237e-14,1.20559718162683e-13
P55,3118.9749655889,-1.3928393745133,0.275305356371456,-5.05925272530481,4.2090270813127e-07,1.11548654935238e-06
PE1,935.16077126181,-0.134500734888189,0.161829673975541,-0.831125291079295,0.405902853655602,0.442394811453132
PE12,1600.36975920948,-2.01928703090602,0.222115249919359,-9.09116790332561,9.79808279304771e-20,1.00926656744073e-18
PE13,1972.03752560676,-1.81075334623119,0.46678798266095,-3.87917729995724,0.000104810342705002,0.000189790616740425
PE14,201.13942112431,1.48204099364578,0.245431917347846,6.03850146982031,1.55552011237927e-09,5.80465595211458e-09
PE15,269.501421677111,-1.33605157387066,0.370387596285587,-3.60717148000956,0.000309553093166769,0.000528363546748189
PE16,893.070762529994,0.483608868532906,0.232407726246058,2.08086398995571,0.0374463570259459,0.0482678233420589
PE17,1269.59366972557,-2.21214953142233,0.244953910429365,-9.03088065646633,1.7029573074711e-19,1.71675525580455e-18
PE18,26.6916195179508,2.41285760922861,2.50331750340724,0.963863994856622,0.33511411730258,0.370797928061455
PE19,5209.16018479017,-3.0103164140507,0.364059394005833,-8.26875082367047,1.35369859065451e-16,1.05965015506863e-15
PE2,557.453377847642,0.607949321136018,0.12243307046818,4.96556460449159,6.85014838678938e-07,1.76019030286631e-06
PE20,625.639113072962,-0.420895218837526,0.350281226537107,-1.20159228343041,0.229521532652101,0.261551652537752
PE22,361.670124172152,-0.896606229842521,0.32920518890153,-2.72354829167261,0.00645847727290985,0.00928983284037657
PE23,1020.31243965868,-0.813655631099292,0.249387689319115,-3.26261345666563,0.00110389975616601,0.00175850338515933
PE24,384.895502292189,1.58927592511832,0.382703532142816,4.15276001300463,3.28489181468686e-05,6.40188314090662e-05
PE25,1354.48217888105,-3.43940786619532,0.444827076430412,-7.73201104077434,1.05860760545375e-14,7.10951244117233e-14
PE26,2344.96095106619,-2.74858161523858,0.265740894808433,-10.3430885834112,4.49802372098158e-25,7.33332970786238e-24
PE27,327.440374645954,0.669995298486806,0.246129039522381,2.72213022805821,0.0064862576506662,0.00932695443197987
PE29,279.522760128232,1.85885272259001,0.341961509537778,5.43585365821605,5.45347011133043e-08,1.62572551616458e-07
PE3,887.1194759829,1.20007535657246,0.25598597328632,4.68805122861236,2.75818981817127e-06,6.36132754161648e-06
