gene,direction
PE14,up
PE_PGRS28,up
PE_PGRS31,up
PE_PGRS43,up
PPE43,up
PPE69,up
Rv0021c,up
Rv0023,up
Rv0034,up
Rv0074,up
Rv0184,up
Rv0203,up
Rv0210,up
Rv0219,up
Rv0228,up
Rv0269c,up
Rv0331,up
Rv0332,up
Rv0368c,up
Rv0376c,up
Rv0385,up
Rv0398c,up
Rv0401,up
Rv0421c,up
Rv0435c,up
Rv0484c,up
Rv0494,up
Rv0499,up
Rv0561c,up
Rv0610c,up
Rv0613c,up
Rv0625c,up
Rv0653c,up
Rv0745,up
Rv0776c,up
Rv0804,up
Rv0841,up
Rv0862c,up
Rv0882,up
Rv0927c,up
Rv0955,up
Rv0992c,up
Rv1003,up
Rv1050,up
Rv1062,up
Rv1204c,up
Rv1230c,up
Rv1401,up
Rv1455,up
Rv1456c,up
Rv1458c,up
Rv1489A,up
Rv1571,up
Rv1691,up
Rv1717,up
Rv1722,up
Rv1726,up
Rv1727,up
Rv1875,up
Rv1930c,up
Rv1931c,up
Rv1972,up
Rv1973,up
Rv1999c,up
Rv2049c,up
Rv2073c,up
Rv2118c,up
Rv2240c,up
Rv2310,up
Rv2413c,up
Rv2414c,up
Rv2415c,up
Rv2422,up
Rv2481c,up
Rv2563,up
Rv2566,up
Rv2573,up
Rv2598,up
Rv2638,up
Rv2653c,up
Rv2689c,up
Rv2722,up
Rv2739c,up
Rv2772c,up
Rv2800,up
Rv2802c,up
Rv2804c,up
Rv2805,up
Rv2844,up
Rv2891,up
Rv2893,up
Rv2897c,up
Rv2915c,up
Rv2966c,up
Rv2983,up
Rv3037c,up
Rv3041c,up
Rv3091,up
Rv3162c,up
Rv3167c,up
Rv3175,up
Rv3192,up
Rv3218,up
Rv3300c,up
Rv3594,up
Rv3643,up
Rv3662c,up
Rv3752c,up
Rv3770c,up
Rv3771c,up
Rv3787c,up
Rv3813c,up
Rv3850,up
Rv3861,up
Rv3899c,up
Rv3906c,up
Rv3912,up
aftA,up
alkA,up
amiB2,up
aofH,up
