,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTS2823,6.80150307428817,-4.85935437536342,1.72259293364915,-2.82095338976536,0.0047881159256287,0.0249056675819729
P55,1718.25437462839,-2.00230699440915,0.635845141757167,-3.14904819257681,0.00163803179861336,0.0114027519095723
PE13,574.711381738777,-3.14079099464461,0.579395740897637,-5.42080442251559,5.9331443121308e-08,3.7963996002689e-06
PE24,52.7261061786873,3.19585562366235,0.852846387881805,3.74728165478876,0.000178761325391702,0.00218225293581684
PE25,907.487508334667,-2.84499790065366,0.615894031356619,-4.61929772949258,3.85041026955152e-06,0.000116787443955033
PE3,160.230068998818,1.77518463636235,0.698754792698077,2.54049726014456,0.0110694960969786,0.0457167252599356
PE31,501.816665077278,-1.73189911974649,0.619018583148104,-2.79781442253103,0.00514496638309359,0.026408942830143
PE32,55.0338679505129,3.1066057591013,0.758096684690901,4.09790178724757,4.16912092674349e-05,0.000746128883096508
PE34,89.2759224010403,1.72630884665177,0.658250763299826,2.62257021624669,0.00872692829856886,0.0384198700118899
PE36,125.593139960878,-1.7136012149904,0.657336524519604,-2.60688574431907,0.00913698429251893,0.0397752596741434
PE4,140.655662695452,2.49067548164619,0.748930464353971,3.32564316741296,0.000882147833012225,0.00725442346478891
PE6,42.1845099497467,4.23101715181526,0.886415183093536,4.77317766269443,1.81341685653276e-06,6.77637610949164e-05
PE7,86.440553265899,1.72307461063724,0.687195129471239,2.50740224536087,0.0121622217645377,0.0494012862390022
PE8,60.5618694103934,1.89772636520562,0.730335499488892,2.59843094924689,0.00936508782894375,0.04053878733011
PE9,56.1859606391597,2.56623422362019,0.754217305842807,3.40251304728752,0.000667691671237739,0.00588450527613486
PE_PGRS10,320.798480732467,2.41035291222012,0.711017452068721,3.39000527372028,0.00069891279122222,0.00609303632161855
PE_PGRS11,1387.0427564624,4.64048298182014,0.640680144098694,7.24305727992921,4.38681523010307e-13,1.02454069699057e-10
PE_PGRS15,669.745698027367,1.89114788395985,0.692370138622921,2.73141168063836,0.0063063641219593,0.030557081756921
PE_PGRS17,31.9333944439083,3.32038778508305,0.928354797511843,3.5766366414891,0.000348043426244156,0.00367807883254854
PE_PGRS18,65.0319768461693,2.76872464503864,0.805162957185061,3.43871339376864,0.000584485677331454,0.00539551896999056
PE_PGRS31,203.758825078947,-2.08887003080176,0.618071674724411,-3.37965662596196,0.000725764411596635,0.00625469661728392
PE_PGRS39,234.12427786321,1.55829291428631,0.605110517243356,2.57522034385599,0.0100176246194234,0.0426159604711539
PE_PGRS45,35.062683896924,2.11928964103194,0.804643092910761,2.63382567961343,0.00844288220529733,0.0374517595260625
PPE18,1583.41715257374,-4.27134934106153,0.63589031197504,-6.71711655394616,1.8535570772776e-11,3.443637034924e-09
PPE20,16098.6248541841,-1.91847922171763,0.752396320623108,-2.54982536348505,0.0107776891500588,0.0448286607479293
PPE29,153.002203780855,2.14085536783957,0.645189158462036,3.31818248921419,0.000906052676670974,0.00738598962082045
PPE30,131.721870066333,1.66470237129369,0.626028472846759,2.65914801562257,0.00783385382995893,0.0355952638518854
PPE37,141.568193787782,3.17846443014938,0.741388319032161,4.28717899723411,1.8095647645851e-05,0.000402498905494143
PPE38,1930.35158376803,-2.00957056338881,0.580537697938205,-3.46156773371626,0.000537038962828639,0.00509091147981142
PPE39,7616.15115436298,-2.61686642030693,0.715296873564867,-3.65843402511337,0.000253761044574687,0.00290519078237344
PPE41,4209.57907866246,-3.11643080824285,0.67776994428508,-4.59806581056069,4.26431307105167e-06,0.000128507137773434
PPE46,180.124181895942,1.76810895880206,0.626726012363836,2.82118329847719,0.00478468552283573,0.0249056675819729
PPE49,247.45068833426,1.88328676772378,0.619810342415135,3.03848877446191,0.00237767963023506,0.0149276096140161
PPE51,841.133117536777,-2.31573438964602,0.575248410681656,-4.02562501111811,5.68241820299338e-05,0.000934597726274017
PPE52,807.060519891868,-1.584227946057,0.619556438790918,-2.55703572244148,0.0105568375791729,0.0442216222205271
PPE55,16465.4091836996,2.32850431520889,0.67041119098147,3.47324798054162,0.000514200020620199,0.00500380895066031
PPE57,379.332734707377,-2.0523911734168,0.642471655410819,-3.19452407920537,0.00140061600544794,0.0101914006320725
PPE61,179.724450984656,1.79809097946319,0.63635105917101,2.82562738530773,0.00471881209033937,0.0247281373517077
PPE63,175.223001774227,1.79114470081419,0.66063151735585,2.71126135183978,0.00670277715573703,0.0318501242059488
PPE7,118.049599113145,1.77361869504179,0.662150896417212,2.67857176459104,0.00739368863120525,0.0340255365481376
Rv0007,523.944298600299,-2.35315489546636,0.652608319855092,-3.60576907139165,0.000311229817662294,0.00337298022807559
Rv0057,795.989461946414,-2.84125707689272,0.677416454399302,-4.19425459544262,2.73770358113924e-05,0.000546487753312025
Rv0063,196.127287175651,-2.0476028500403,0.736975708287236,-2.77838580975623,0.00546297109221918,0.0273793325877208
Rv0064,10178.3862941575,2.55546026894281,0.720028509448536,3.54910984135894,0.000386535806297451,0.00396815110157229
Rv0071,183.957621909939,2.11895537738968,0.702921862054236,3.01449633562,0.00257406320496399,0.0158314574207405
Rv0076c,104.657316833911,1.79908507084424,0.682376387675824,2.63649959661108,0.00837662997890921,0.0372640367918904
Rv0078,107.494877202565,1.93112089251063,0.68396803220856,2.82340811495965,0.00475160438496104,0.0248263356623635
