"PC1"	"PC2"	"group"	"Clade"	"Genotype"	"name"
"1-A-P"	-1.19496634293332	-22.4528004006884	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"1-A-P"
"10-A-P"	-11.3919384065767	-7.50474699412372	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"10-A-P"
"11-E-P"	18.6058249733759	1.55874275812877	"L4.4:Evolved"	"L4.4"	"Evolved"	"11-E-P"
"12-E-P"	10.6413129581177	6.75879852380048	"L4.4:Evolved"	"L4.4"	"Evolved"	"12-E-P"
"17-A-P"	-6.57361612061754	-11.9245840591377	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"17-A-P"
"18-A-P"	-7.57348988204924	-12.5111722745898	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"18-A-P"
"19-E-P"	-17.0263725872786	1.96177049635891	"L4.9:Evolved"	"L4.9"	"Evolved"	"19-E-P"
"2-A-P"	-5.4573340965315	-15.899220363884	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"2-A-P"
"20-E-P"	-9.4325991481635	-8.2930943614185	"L4.9:Evolved"	"L4.9"	"Evolved"	"20-E-P"
"25-A-P"	19.6533967715944	7.14666512558402	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"25-A-P"
"26-A-P"	20.1412592725376	7.27611699012942	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"26-A-P"
"27-E-P"	-16.1189377462688	12.7634168889822	"L4.4:Evolved"	"L4.4"	"Evolved"	"27-E-P"
"28-E-P"	-4.319482507866	-12.1014091399915	"L4.4:Evolved"	"L4.4"	"Evolved"	"28-E-P"
"3-E-P"	-19.5845266777305	29.3604411793563	"L4.9:Evolved"	"L4.9"	"Evolved"	"3-E-P"
"33-A-P"	-15.4899394173142	24.0463144119763	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"33-A-P"
"34-A-P"	-2.58261006051801	6.41939960861035	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"34-A-P"
"35-E-P"	2.38506591139381	-7.97172015493996	"L4.4:Evolved"	"L4.4"	"Evolved"	"35-E-P"
"36-E-P"	-6.59520946143152	-0.817476984293082	"L4.4:Evolved"	"L4.4"	"Evolved"	"36-E-P"
"4-E-P"	-4.88882263689224	-16.8255046942969	"L4.9:Evolved"	"L4.9"	"Evolved"	"4-E-P"
"41-A-P"	2.17945593785399	6.14221856854533	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"41-A-P"
"42-A-P"	6.44970332102668	4.14866637752924	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"42-A-P"
"43-E-P"	25.9789297541211	2.70577336183197	"L4.4:Evolved"	"L4.4"	"Evolved"	"43-E-P"
"44-E-P"	22.1948961921504	6.01340513653036	"L4.4:Evolved"	"L4.4"	"Evolved"	"44-E-P"
