"PC1"	"PC2"	"group"	"Clade"	"Genotype"	"name"
"1-A-P"	-8.05218819390329	-9.6066114707543	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"1-A-P"
"10-A-P"	7.21766296144734	-5.32729450021838	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"10-A-P"
"11-E-P"	-11.0503045870633	4.89990799121038	"L4.4:Evolved"	"L4.4"	"Evolved"	"11-E-P"
"12-E-P"	-3.88077849178416	5.37934219584319	"L4.4:Evolved"	"L4.4"	"Evolved"	"12-E-P"
"17-A-P"	-1.36212613728924	-6.58580888738665	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"17-A-P"
"18-A-P"	0.227221419443338	-7.0166866951167	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"18-A-P"
"19-E-P"	12.7852502483673	-3.06418294235622	"L4.9:Evolved"	"L4.9"	"Evolved"	"19-E-P"
"2-A-P"	-1.94627464974788	-7.36258983965677	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"2-A-P"
"20-E-P"	1.76030439271793	-6.60509017454994	"L4.9:Evolved"	"L4.9"	"Evolved"	"20-E-P"
"25-A-P"	-10.9337784466479	7.05713126100648	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"25-A-P"
"26-A-P"	-12.1373377976159	7.49758817249889	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"26-A-P"
"27-E-P"	15.8655992774472	4.46354913808253	"L4.4:Evolved"	"L4.4"	"Evolved"	"27-E-P"
"28-E-P"	-1.22222124336472	-3.45990123899491	"L4.4:Evolved"	"L4.4"	"Evolved"	"28-E-P"
"3-E-P"	24.2358721910052	7.2819394786576	"L4.9:Evolved"	"L4.9"	"Evolved"	"3-E-P"
"33-A-P"	17.7337203744728	6.33174020877301	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"33-A-P"
"34-A-P"	2.38436413822998	2.67454429607069	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"34-A-P"
"35-E-P"	-8.51154216376169	-2.34802070814999	"L4.4:Evolved"	"L4.4"	"Evolved"	"35-E-P"
"36-E-P"	3.24772124484149	-1.8850845833715	"L4.4:Evolved"	"L4.4"	"Evolved"	"36-E-P"
"4-E-P"	-3.34179889806578	-7.63240038060029	"L4.9:Evolved"	"L4.9"	"Evolved"	"4-E-P"
"41-A-P"	4.33184779609505	0.843771450785923	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"41-A-P"
"42-A-P"	1.21136101091265	1.61040633841235	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"42-A-P"
"43-E-P"	-15.8745373190506	5.86885660319362	"L4.4:Evolved"	"L4.4"	"Evolved"	"43-E-P"
"44-E-P"	-12.6880371266858	6.98489428662098	"L4.4:Evolved"	"L4.4"	"Evolved"	"44-E-P"
