	PC1	PC2	group	Clade	Genotype	name	PC12	PC22
1-A-P	-8.10378958	-9.938674453	L4.9:Ancestral	L4.9	Ancestral	1-A-P	24.84155697	7.451081354
2-A-P	-1.837505809	-7.671422502	L4.9:Ancestral	L4.9	Ancestral	2-A-P	-2.887848731	-7.940762112
3-E-P	24.84155697	7.451081354	L4.9:Evolved	L4.9	Evolved	3-E-P		
4-E-P	-2.887848731	-7.940762112	L4.9:Evolved	L4.9	Evolved	4-E-P		
10-A-P	7.56628069	-5.516552198	L4.4:Ancestral	L4.4	Ancestral	10-A-P	-11.26603567	5.012990866
11-E-P	-11.26603567	5.012990866	L4.4:Evolved	L4.4	Evolved	11-E-P		
12-E-P	-4.350309114	5.474650278	L4.4:Evolved	L4.4	Evolved	12-E-P		
17-A-P	-1.041422556	-6.790567796	L4.9:Ancestral	L4.9	Ancestral	17-A-P	12.93705475	-2.97523466
18-A-P	0.495656675	-7.214691744	L4.9:Ancestral	L4.9	Ancestral	18-A-P	1.792068347	-6.890086676
19-E-P	12.93705475	-2.97523466	L4.9:Evolved	L4.9	Evolved	19-E-P		
20-E-P	1.792068347	-6.890086676	L4.9:Evolved	L4.9	Evolved	20-E-P		
25-A-P	-11.53947219	7.059033061	L4.4:Ancestral	L4.4	Ancestral	25-A-P	16.45358228	4.658782037
26-A-P	-12.65328951	7.488138184	L4.4:Ancestral	L4.4	Ancestral	26-A-P	-1.462393476	-3.726153575
27-E-P	16.45358228	4.658782037	L4.4:Evolved	L4.4	Evolved	27-E-P		
28-E-P	-1.462393476	-3.726153575	L4.4:Evolved	L4.4	Evolved	28-E-P		
33-A-P	18.26299914	6.632191535	L4.4:Ancestral	L4.4	Ancestral	33-A-P	-8.615358372	-2.316669917
34-A-P	2.447351719	2.772892335	L4.4:Ancestral	L4.4	Ancestral	34-A-P	3.158131026	-1.787179078
35-E-P	-8.615358372	-2.316669917	L4.4:Evolved	L4.4	Evolved	35-E-P		
36-E-P	3.158131026	-1.787179078	L4.4:Evolved	L4.4	Evolved	36-E-P		
41-A-P	4.435440787	1.078450724	L4.4:Ancestral	L4.4	Ancestral	41-A-P	-16.29777458	5.92267749
42-A-P	0.864951107	2.274972098	L4.4:Ancestral	L4.4	Ancestral	42-A-P	-13.1998739	6.942134749
43-E-P	-16.29777458	5.92267749	L4.4:Evolved	L4.4	Evolved	43-E-P		
44-E-P	-13.1998739	6.942134749	L4.4:Evolved	L4.4	Evolved	44-E-P		
