	PC1	PC2	group	Clade	Genotype	name	PC12	PC22
1-A-P	-1.102038458	-22.56412496	L4.9:Ancestral	L4.9	Ancestral	1-A-P	-19.98339268	29.21747833
2-A-P	-5.367589721	-16.04550473	L4.9:Ancestral	L4.9	Ancestral	2-A-P	-4.857329086	-16.87938273
3-E-P	-19.98339268	29.21747833	L4.9:Evolved	L4.9	Evolved	3-E-P		
4-E-P	-4.857329086	-16.87938273	L4.9:Evolved	L4.9	Evolved	4-E-P		
10-A-P	-11.40960783	-7.696384022	L4.4:Ancestral	L4.4	Ancestral	10-A-P	18.7474769	1.673552389
11-E-P	18.7474769	1.673552389	L4.4:Evolved	L4.4	Evolved	11-E-P		
12-E-P	10.71391336	6.77517818	L4.4:Evolved	L4.4	Evolved	12-E-P		
17-A-P	-6.46525407	-11.93841564	L4.9:Ancestral	L4.9	Ancestral	17-A-P	-17.0602421	1.80636095
18-A-P	-7.503326027	-12.52791938	L4.9:Ancestral	L4.9	Ancestral	18-A-P	-9.332774763	-8.370812293
19-E-P	-17.0602421	1.80636095	L4.9:Evolved	L4.9	Evolved	19-E-P		
20-E-P	-9.332774763	-8.370812293	L4.9:Evolved	L4.9	Evolved	20-E-P		
25-A-P	19.65030049	7.273997001	L4.4:Ancestral	L4.4	Ancestral	25-A-P	-16.31377055	12.66175557
26-A-P	20.11632865	7.446124313	L4.4:Ancestral	L4.4	Ancestral	26-A-P	-4.160531146	-12.19440804
27-E-P	-16.31377055	12.66175557	L4.4:Evolved	L4.4	Evolved	27-E-P		
28-E-P	-4.160531146	-12.19440804	L4.4:Evolved	L4.4	Evolved	28-E-P		
33-A-P	-15.87614391	24.02111386	L4.4:Ancestral	L4.4	Ancestral	33-A-P	2.446987017	-7.854061536
34-A-P	-2.676422211	6.478780239	L4.4:Ancestral	L4.4	Ancestral	34-A-P	-6.587364458	-0.796104438
35-E-P	2.446987017	-7.854061536	L4.4:Evolved	L4.4	Evolved	35-E-P		
36-E-P	-6.587364458	-0.796104438	L4.4:Evolved	L4.4	Evolved	36-E-P		
41-A-P	2.110029269	6.148073634	L4.4:Ancestral	L4.4	Ancestral	41-A-P	26.13963346	2.997099025
42-A-P	6.476082212	4.176543827	L4.4:Ancestral	L4.4	Ancestral	42-A-P	22.29503564	6.191060455
43-E-P	26.13963346	2.997099025	L4.4:Evolved	L4.4	Evolved	43-E-P		
44-E-P	22.29503564	6.191060455	L4.4:Evolved	L4.4	Evolved	44-E-P		
