SampleID	Strain	Clade	Genotype	Condition	LibraryName	WetWeight	LibraryPrepBatch	Resequenced	ReadCount	CountsFile
31-A-P	31	L4.9	Ancestral	Planktonic	1-A-P	0.68105	1	Y	73	HTSeqCounts/1-A-P_HTSeqCounts.txt
31-A-P	31	L4.9	Ancestral	Planktonic	2-A-P	0.68105	1	N	55	HTSeqCounts/2-A-P_HTSeqCounts.txt
31-E-P	31	L4.9	Evolved	Planktonic	3-E-P	1.823666667	1	Y	62	HTSeqCounts/3-E-P_HTSeqCounts.txt
31-E-P	31	L4.9	Evolved	Planktonic	4-E-P	1.823666667	1	N	53	HTSeqCounts/4-E-P_HTSeqCounts.txt
31-A-B	31	L4.9	Ancestral	Biofilm	5-A-B	0.68105	3	N	51	HTSeqCounts/5-A-B_HTSeqCounts.txt
31-A-B	31	L4.9	Ancestral	Biofilm	6-A-B	0.68105	3	Y	63	HTSeqCounts/6-A-B_HTSeqCounts.txt
31-E-B	31	L4.9	Evolved	Biofilm	7-E-B	1.823666667	1	N	79	HTSeqCounts/7-E-B_HTSeqCounts.txt
31-E-B	31	L4.9	Evolved	Biofilm	8-E-B	1.823666667	1	N	99	HTSeqCounts/8-E-B_HTSeqCounts.txt
49-A-P	49	L4.4	Ancestral	Planktonic	10-A-P	0.84915	1	Y	69	HTSeqCounts/10-A-P_HTSeqCounts.txt
49-E-P	49	L4.4	Evolved	Planktonic	11-E-P	1.70245	1	Y	76	HTSeqCounts/11-E-P_HTSeqCounts.txt
49-E-P	49	L4.4	Evolved	Planktonic	12-E-P	1.70245	1	Y	69	HTSeqCounts/12-E-P_HTSeqCounts.txt
49-A-B	49	L4.4	Ancestral	Biofilm	13-A-B	0.84915	3	N	52	HTSeqCounts/13-A-B_HTSeqCounts.txt
49-A-B	49	L4.4	Ancestral	Biofilm	14-A-B	0.84915	1	N	117	HTSeqCounts/14-A-B_HTSeqCounts.txt
49-E-B	49	L4.4	Evolved	Biofilm	15-E-B	1.70245	1	Y	70	HTSeqCounts/15-E-B_HTSeqCounts.txt
49-E-B	49	L4.4	Evolved	Biofilm	16-E-B	1.70245	3	N	83	HTSeqCounts/16-E-B_HTSeqCounts.txt
55-A-P	55	L4.9	Ancestral	Planktonic	17-A-P	0.63995	3	Y	69	HTSeqCounts/17-A-P_HTSeqCounts.txt
55-A-P	55	L4.9	Ancestral	Planktonic	18-A-P	0.63995	3	N	54	HTSeqCounts/18-A-P_HTSeqCounts.txt
55-E-P	55	L4.9	Evolved	Planktonic	19-E-P	4.1406	3	N	64	HTSeqCounts/19-E-P_HTSeqCounts.txt
55-E-P	55	L4.9	Evolved	Planktonic	20-E-P	4.1406	4	Y	75	HTSeqCounts/20-E-P_HTSeqCounts.txt
55-A-B	55	L4.9	Ancestral	Biofilm	21-A-B	0.63995	4	Y	73	HTSeqCounts/21-A-B_HTSeqCounts.txt
55-A-B	55	L4.9	Ancestral	Biofilm	22-A-B	0.63995	2	N	82	HTSeqCounts/22-A-B_HTSeqCounts.txt
55-E-B	55	L4.9	Evolved	Biofilm	23-E-B	4.1406	4	N	75	HTSeqCounts/23-E-B_HTSeqCounts.txt
55-E-B	55	L4.9	Evolved	Biofilm	24-E-B	4.1406	4	Y	77	HTSeqCounts/24-E-B_HTSeqCounts.txt
72-A-P	72	L4.4	Ancestral	Planktonic	25-A-P	0.6184	4	Y	43	HTSeqCounts/25-A-P_HTSeqCounts.txt
72-A-P	72	L4.4	Ancestral	Planktonic	26-A-P	0.6184	2	N	62	HTSeqCounts/26-A-P_HTSeqCounts.txt
72-E-P	72	L4.4	Evolved	Planktonic	27-E-P	1.9599	4	Y	70	HTSeqCounts/27-E-P_HTSeqCounts.txt
72-E-P	72	L4.4	Evolved	Planktonic	28-E-P	1.9599	4	N	55	HTSeqCounts/28-E-P_HTSeqCounts.txt
72-A-B	72	L4.4	Ancestral	Biofilm	29-A-B	0.6184	4	N	52	HTSeqCounts/29-A-B_HTSeqCounts.txt
72-A-B	72	L4.4	Ancestral	Biofilm	30-A-B	0.6184	2	Y	63	HTSeqCounts/30-A-B_HTSeqCounts.txt
