position	13-A-B	14-A-B	15-E-B	16-E-B	10-A-P	11-E-P	12-E-P
3200000	0.602	0.689	0.724	0.897	0.074	0.071	0.33
3205000	0.636	0.737	0.756	0.971	0.096	0.071	0.333
3210000	0.649	0.761	0.778	1.014	0.098	0.069	0.329
3215000	0.632	0.762	0.777	1.019	0.075	0.032	0.158
3220000	0.618	0.738	0.768	0.985	0.067	0.028	0.141
3225000	0.599	0.705	0.743	0.956	0.096	0.115	0.476
3230000	0.618	0.724	0.769	0.978	0.11	0.139	0.578
3235000	0.655	0.736	0.807	1.017	0.098	0.138	0.575
3240000	0.685	0.767	0.838	1.066	0.099	0.153	0.643
3245000	0.677	0.77	0.84	1.044	0.049	0.075	0.34
3250000	0.667	0.759	0.837	1.034	0.036	0.06	0.275
3255000	0.638	0.733	0.805	1.003	0.041	0.07	0.317
3260000	0.621	0.735	0.793	0.989	0.055	0.087	0.389
3265000	0.593	0.704	0.757	0.955	0.091	0.155	0.57
3270000	0.582	0.689	0.743	0.928	0.092	0.164	0.595
3275000	0.613	0.721	0.786	0.951	0.086	0.147	0.517
3280000	0.631	0.721	0.811	0.97	0.075	0.145	0.439
3285000	0.646	0.707	0.819	1	0.072	0.174	0.477
3290000	0.623	0.689	0.803	0.994	0.073	0.178	0.498
3295000	0.572	0.655	0.757	0.946	0.075	0.177	0.491
3300000	0.56	0.668	0.75	0.96	0.071	0.144	0.428
3305000	0.573	0.689	0.772	0.978	0.045	0.043	0.193
3310000	0.61	0.735	0.807	1.018	0.044	0.028	0.143
3315000	0.627	0.75	0.81	1.023	0.043	0.024	0.138
3320000	0.637	0.745	0.803	1.001	0.043	0.026	0.143
3325000	0.666	0.762	0.827	1.042	0.049	0.048	0.227
3330000	0.64	0.733	0.794	1.01	0.088	0.073	0.357
3335000	0.659	0.741	0.817	1.047	0.086	0.072	0.365
3340000	0.655	0.751	0.826	1.049	0.088	0.076	0.381
3345000	0.632	0.739	0.809	1.004	0.091	0.068	0.354
3350000	0.699	0.794	0.87	1.09	0.064	0.049	0.256
3355000	0.684	0.794	0.856	1.06	0.061	0.046	0.23
3360000	0.669	0.726	1.005	1.226	0.057	0.043	0.216
3365000	0.691	0.791	1.094	1.324	0.046	0.026	0.148
3370000	0.651	0.78	1.067	1.261	0.031	0.021	0.115
3375000	0.635	0.753	1.044	1.245	0.034	0.026	0.137
3380000	0.646	0.807	0.892	1.078	0.036	0.026	0.139
3385000	0.631	0.763	0.819	1.005	0.035	0.029	0.157
3390000	0.627	0.725	0.798	1.006	0.073	0.04	0.208
3395000	0.635	0.708	0.8	1.014	0.227	0.159	0.642
3400000	0.648	0.727	0.816	1.055	0.248	0.175	0.7
3405000	0.642	0.7	0.796	1.051	0.272	0.185	0.755
3410000	0.649	0.74	0.824	1.075	0.243	0.169	0.685
3415000	0.643	0.759	0.822	1.071	0.091	0.049	0.248
3420000	0.638	0.757	0.811	1.058	0.07	0.035	0.196
3425000	0.667	0.816	0.856	1.088	0.048	0.018	0.112
3430000	0.672	0.785	0.856	1.088	0.047	0.018	0.105
3435000	0.674	0.81	0.869	1.104	0.053	0.023	0.117
3440000	0.678	0.832	0.882	1.113	0.051	0.019	0.102
3445000	0.626	0.785	0.822	1.049	0.056	0.025	0.143
3450000	1.094	0.922	1.116	1.047	0.461	0.395	0.58
3455000	1.085	0.893	1.103	1.031	0.46	0.394	0.576
3460000	1.021	0.813	1.046	0.942	0.459	0.394	0.571
3465000	0.979	0.755	1.012	0.9	0.458	0.4	0.563
3470000	0.488	0.604	0.699	0.887	0.048	0.034	0.141
3475000	0.544	0.653	0.767	0.976	0.172	0.263	1.123
3480000	0.655	0.728	0.81	1.058	0.597	0.717	3.069
3485000	0.75	0.824	0.914	1.163	0.63	0.752	3.311
3490000	0.748	0.826	0.894	1.135	0.642	0.782	3.462
3495000	0.715	0.771	0.832	1.049	0.515	0.564	2.521
3500000	0.651	0.719	0.802	0.987	0.091	0.119	0.614
3505000	0.641	0.715	0.779	0.968	0.053	0.101	0.421
3510000	0.653	0.713	0.793	0.983	0.049	0.076	0.28
3515000	0.671	0.762	0.829	1.047	0.075	0.066	0.233
3520000	0.695	0.803	0.875	1.114	0.077	0.054	0.194
3525000	0.688	0.812	0.884	1.143	0.079	0.033	0.158
3530000	0.67	0.801	0.871	1.137	0.069	0.022	0.123
3535000	0.661	0.812	0.847	1.115	0.046	0.017	0.118
3540000	0.782	0.919	0.843	1.105	0.062	0.032	0.164
3545000	0.85	0.97	0.791	1.047	0.078	0.04	0.173
3550000	0.96	1.088	0.787	1.016	0.14	0.06	0.26
3555000	1.066	1.188	0.785	0.999	0.141	0.062	0.268
3560000	0.965	1.103	0.706	0.892	0.122	0.046	0.211
3565000	0.978	1.151	0.718	0.891	0.162	0.051	0.237
3570000	1.018	1.213	0.738	0.925	0.139	0.067	0.314
